property_id,purpose,city,location,beds,baths,area_yard,price,date_added
Property_1,Sale,Karachi,"Madras Cooperative Housing Society, Scheme 33 - Sector 17-A",8,7,400 Sq. Yd.,7 Crore,2025-04-26
Property_2,Sale,Karachi,"Karachi University Housing Society, Scheme 33",6,7,240 Sq. Yd.,5.15 Crore,2025-04-26
Property_3,Sale,Karachi,"DHA Phase 8 - Zone A, DHA Phase 8",4,4,500 Sq. Yd.,13 Crore,2025-04-26
Property_4,Sale,Karachi,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3,4,125 Sq. Yd.,1.45 Crore,2025-04-26
Property_5,Sale,Karachi,"Bahria Sports City, Bahria Town Karachi",4,5,350 Sq. Yd.,,2025-04-26
Property_6,Sale,Karachi,"Gwalior Cooperative Housing Society, Scheme 33",4,5,120 Sq. Yd.,1.92 Crore,2025-04-26
Property_7,Sale,Karachi,"State Bank of Pakistan Housing Society, Scheme 33 - Sector 17-A",6,7,207 Sq. Yd.,2.75 Crore,2025-04-26
Property_8,Sale,Karachi,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",5,5,400 Sq. Yd.,5.5 Crore,2025-04-26
Property_9,Sale,Karachi,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",5,5,90 Sq. Yd.,5.65 Crore,2025-04-26
Property_10,Sale,Karachi,"Askari 6, Malir Cantonment",5,5,375 Sq. Yd.,1.5 Crore,2025-04-26
Property_11,Sale,Karachi,"DHA Phase 6, DHA Defence",5,6,500 Sq. Yd.,6.5 Crore,2025-04-26
Property_12,Sale,Karachi,"DHA Phase 8, DHA Defence",6,7,500 Sq. Yd.,11 Crore,2025-04-26
Property_13,Sale,Karachi,"DHA Phase 6, DHA Defence",5,5,500 Sq. Yd.,13 Crore,2025-04-26
Property_14,Sale,Karachi,"Kings Garden, Gulistan-e-Jauhar",4,4,120 Sq. Yd.,14 Crore,2025-04-26
Property_15,Sale,Karachi,"Punjabi Saudagar Society Phase 2, Scheme 33 - Sector 50",4,4,120 Sq. Yd.,2.8 Crore,2025-04-26
Property_16,Sale,Karachi,"Scheme 45, Karachi",4,2,60 Sq. Yd.,2.2 Crore,2025-04-26
Property_17,Sale,Karachi,"Saadi Town, Scheme 33",4,4,240 Sq. Yd.,32 Lakh,2025-04-26
Property_18,Sale,Karachi,"Bahria Town - Precinct 27, Bahria Town Karachi",3,3,235 Sq. Yd.,2.9 Crore,2025-04-26
Property_19,Sale,Karachi,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3,3,125 Sq. Yd.,1.42 Crore,2025-04-26
Property_20,Sale,Karachi,"State Bank of Pakistan Housing Society, Scheme 33 - Sector 17-A",6,7,200 Sq. Yd.,1.26 Crore,2025-04-26
Property_21,Sale,Karachi,"Karachi University Housing Society, Scheme 33",6,7,240 Sq. Yd.,4.6 Crore,2025-04-26
Property_22,Sale,Karachi,"DHA Phase 6, DHA Defence",6,6,500 Sq. Yd.,5.5 Crore,2025-04-26
Property_23,Sale,Karachi,"KDA Scheme 1, Karachi",5,6,650 Sq. Yd.,11.5 Crore,2025-04-26
Property_24,Sale,Karachi,"Gulshan-e-Maymar - Sector W, Gulshan-e-Maymar",6,6,400 Sq. Yd.,22 Crore,2025-04-26
Property_25,Sale,Karachi,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",4,4,120 Sq. Yd.,8 Crore,2025-04-26
Property_26,Sale,Karachi,"Bahria Hills, Bahria Town Karachi",6,6,500 Sq. Yd.,8.5 Crore,2025-04-26
Property_27,Sale,Karachi,"Bahria Town Karachi, Karachi",280 Sq. Yd.,,,3.4 Crore,2025-04-26
Property_28,Sale,Karachi,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3,3,200 Sq. Yd.,1.67 Crore,2025-04-26
Property_29,Sale,Karachi,"Gulshan-e-Iqbal Town, Karachi",6,6,500 Sq. Yd.,13 Crore,2025-04-26
Property_30,Sale,Karachi,"Gulistan-e-Jauhar - Block 3, Gulistan-e-Jauhar",6,6,120 Sq. Yd.,,2025-04-26
Property_31,Sale,Karachi,"North Nazimabad - Block N, North Nazimabad",7,7,256 Sq. Yd.,4 Crore,2025-04-26
Property_32,Sale,Karachi,"Falcon Complex New Malir, Malir",4,5,350 Sq. Yd.,5.25 Crore,2025-04-26
Property_33,Sale,Karachi,"Falcon Complex New Malir, Malir",5,5,500 Sq. Yd.,8 Crore,2025-04-26
Property_34,Sale,Karachi,"DHA Phase 4, DHA Defence",5,6,300 Sq. Yd.,9.8 Crore,2025-04-26
Property_35,Sale,Karachi,"Etawa Society, Scheme 33 - Sector 52-A",6,6,240 Sq. Yd.,12.75 Crore,2025-04-26
Property_36,Sale,Karachi,"DHA Phase 6, DHA Defence",6,6,"1,000 Sq. Yd.",4.4 Crore,2025-04-26
Property_37,Sale,Karachi,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3,3,200 Sq. Yd.,22.5 Crore,2025-04-26
Property_38,Sale,Karachi,"North Nazimabad - Block N, North Nazimabad",6,6,256 Sq. Yd.,1.66 Crore,2025-04-26
Property_39,Sale,Karachi,"Falcon Complex New Malir, Malir",4,5,350 Sq. Yd.,4.95 Crore,2025-04-26
Property_40,Sale,Karachi,"Falcon Complex New Malir, Malir",5,5,500 Sq. Yd.,7.6 Crore,2025-04-26
Property_41,Sale,Karachi,"Falcon Complex New Malir, Malir",4,5,350 Sq. Yd.,9.75 Crore,2025-04-26
Property_42,Sale,Karachi,"Falcon Complex New Malir, Malir",5,6,500 Sq. Yd.,7.35 Crore,2025-04-26
Property_43,Sale,Karachi,"Falcon Complex New Malir, Malir",5,5,500 Sq. Yd.,10.5 Crore,2025-04-26
Property_44,Sale,Karachi,"Bahria Town - Precinct 10-B, Bahria Town Karachi",3,3,152 Sq. Yd.,11.5 Crore,2025-04-26
Property_45,Sale,Karachi,"DHA Phase 6, DHA Defence",6,6,500 Sq. Yd.,1.28 Crore,2025-04-26
Property_46,Sale,Karachi,"DHA Phase 8, DHA Defence",6,6,"1,000 Sq. Yd.",14.5 Crore,2025-04-26
Property_47,Sale,Karachi,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3,3,152 Sq. Yd.,36.5 Crore,2025-04-26
Property_48,Sale,Karachi,"DHA City - Sector 1, DHA City Karachi",5,5,200 Sq. Yd.,1.25 Crore,2025-04-26
Property_49,Sale,Karachi,"Bahria Town - Precinct 1, Bahria Town Karachi",5,5,272 Sq. Yd.,2.99 Crore,2025-04-26
Property_50,Sale,Karachi,"Saadi Town, Scheme 33",3,3,240 Sq. Yd.,1.95 Crore,2025-04-26
Property_51,Sale,Karachi,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",4,4,120 Sq. Yd.,6 Crore,2025-04-26
